ID_STG_PGT,VLR_PGT_FAT,DAT_VCT,COD_MDL,QTD_CLI_CAD_POS,QTD_PGT,ID_FNT_ITT,DES_TIP_PSS,DAT_RSS_FNT_ITT,DAT_INC_DBO
13959,440987,23062017,B99,25,26,67,F,2020-01-16,2020-01-17 17:50:42.746
13960,29545560,5082016,A04,126,147,67,F,2020-01-16,2020-01-17 17:50:42.746
13961,7659755,10092015,A04,24,28,67,F,2020-01-16,2020-01-17 17:50:42.746
13962,2282561,7102016,B99,103,136,67,F,2020-01-16,2020-01-17 17:50:42.746
13963,34424110,20072020,B05,400,400,67,F,2020-01-16,2020-01-17 17:50:42.746
13964,242480,13102015,B99,24,25,67,F,2020-01-16,2020-01-17 17:50:42.746
13965,1335900,26012017,B99,54,92,67,F,2020-01-16,2020-01-17 17:50:42.746
13966,3025560,12042020,A01,94,118,67,F,2020-01-16,2020-01-17 17:50:42.746
13967,1977900,3032023,B05,35,35,67,F,2020-01-16,2020-01-17 17:50:42.746
13968,14634494,15062018,A01,129,193,67,F,2020-01-16,2020-01-17 17:50:42.746
13969,960367,3052019,A05,40,40,67,F,2020-01-16,2020-01-17 17:50:42.746
13970,7719166,13082022,B05,91,91,67,F,2020-01-16,2020-01-17 17:50:42.746
13971,6196045,25042018,B99,97,170,67,F,2020-01-16,2020-01-17 17:50:42.746
13972,53526,14012021,B99,5,5,67,F,2020-01-16,2020-01-17 17:50:42.746
13973,1340124,3082020,A01,30,38,67,F,2020-01-16,2020-01-17 17:50:42.746
13974,541698,1052018,B99,30,34,67,F,2020-01-16,2020-01-17 17:50:42.746
13975,449279,1092015,B99,53,58,67,F,2020-01-16,2020-01-17 17:50:42.746
13976,830091,26102016,B99,38,57,67,F,2020-01-16,2020-01-17 17:50:42.746
13977,842096,1092018,B99,38,43,67,F,2020-01-16,2020-01-17 17:50:42.746
13978,643009,7062024,A04,49,49,67,F,2020-01-16,2020-01-17 17:50:42.746
13979,109290,28052016,B99,11,11,67,F,2020-01-16,2020-01-17 17:50:42.746
13980,612746,26052021,A04,44,47,67,F,2020-01-16,2020-01-17 17:50:42.746
13981,126677,31012017,A04,2,2,67,F,2020-01-16,2020-01-17 17:50:42.746
13982,1799646,1022023,B05,33,33,67,F,2020-01-16,2020-01-17 17:50:42.746
13983,647555,14042022,A04,25,25,67,F,2020-01-16,2020-01-17 17:50:42.746
13984,1728460,3022022,A04,84,85,67,F,2020-01-16,2020-01-17 17:50:42.746
13985,176112,1102023,A04,18,18,67,F,2020-01-16,2020-01-17 17:50:42.746
13986,810613,26082018,B99,27,31,67,F,2020-01-16,2020-01-17 17:50:42.746
13987,1432478,22072020,A01,11,31,67,F,2020-01-16,2020-01-17 17:50:42.746
13988,268660,15122020,B99,17,17,67,F,2020-01-16,2020-01-17 17:50:42.746
13989,239532,31032017,B99,24,30,67,F,2020-01-16,2020-01-17 17:50:42.746
13990,53889,19012027,A01,1,1,67,F,2020-01-16,2020-01-17 17:50:42.746
13991,6076755,15032016,A04,19,25,67,F,2020-01-16,2020-01-17 17:50:42.746
13992,1545078,6082018,A01,22,22,67,F,2020-01-16,2020-01-17 17:50:42.746
13993,245753,29082024,A04,21,21,67,F,2020-01-16,2020-01-17 17:50:42.746
13994,221859,31122017,B99,10,16,67,F,2020-01-16,2020-01-17 17:50:42.746
13995,111731,13122015,B99,9,9,67,F,2020-01-16,2020-01-17 17:50:42.746
13996,215619,16082020,B99,16,17,67,F,2020-01-16,2020-01-17 17:50:42.746
13997,315715,22102015,B99,5,5,67,F,2020-01-16,2020-01-17 17:50:42.746
13998,107853,31072017,A04,2,2,67,F,2020-01-16,2020-01-17 17:50:42.746
13999,597454,14082021,A04,11,11,67,F,2020-01-16,2020-01-17 17:50:42.746
14000,784455,1052023,B05,14,14,67,F,2020-01-16,2020-01-17 17:50:42.746
14866,2620868,9082017,B99,76,116,67,F,2020-01-16,2020-01-17 17:50:42.746
14867,12407397,5112018,B05,153,153,67,F,2020-01-16,2020-01-17 17:50:42.746
14868,1300854,20022018,B99,54,60,67,F,2020-01-16,2020-01-17 17:50:42.746
14869,1139394,13092017,B99,42,85,67,F,2020-01-16,2020-01-17 17:50:42.746
14870,3319596,10042019,A05,121,122,67,F,2020-01-16,2020-01-17 17:50:42.746
14871,249251,4052015,B99,39,43,67,F,2020-01-16,2020-01-17 17:50:42.746
14872,564201,4042024,A04,39,39,67,F,2020-01-16,2020-01-17 17:50:42.746
14873,14901798,10092018,A04,191,261,67,F,2020-01-16,2020-01-17 17:50:42.746
14874,510273,8062023,A04,34,43,67,F,2020-01-16,2020-01-17 17:50:42.746
14875,3220798,30062021,A04,118,122,67,F,2020-01-16,2020-01-17 17:50:42.746
14876,9090415,11072019,A01,237,278,67,F,2020-01-16,2020-01-17 17:50:42.746
14877,5559605,28032017,A01,35,49,67,F,2020-01-16,2020-01-17 17:50:42.746
14878,2071918,20092025,A01,95,169,67,F,2020-01-16,2020-01-17 17:50:42.746
14879,861477,3112018,A01,27,38,67,F,2020-01-16,2020-01-17 17:50:42.746
14880,8563183,8042020,A04,172,188,67,F,2020-01-16,2020-01-17 17:50:42.746
14881,2310566,1022018,B99,151,221,67,F,2020-01-16,2020-01-17 17:50:42.746
14882,1052606,14112020,A04,22,22,67,F,2020-01-16,2020-01-17 17:50:42.746
14883,289474,30042016,A04,2,2,67,F,2020-01-16,2020-01-17 17:50:42.746
14884,3527029,8062021,A04,139,148,67,F,2020-01-16,2020-01-17 17:50:42.746
14885,146142,25092022,A04,9,9,67,F,2020-01-16,2020-01-17 17:50:42.746
14886,876952,17102016,B99,39,47,67,F,2020-01-16,2020-01-17 17:50:42.746
14887,180070,4032016,B99,15,28,67,F,2020-01-16,2020-01-17 17:50:42.746
14888,84960,3062023,A01,7,15,67,F,2020-01-16,2020-01-17 17:50:42.746
14889,331535,20102025,A04,2,2,67,F,2020-01-16,2020-01-17 17:50:42.746
14890,134316,4092020,A99,5,5,67,F,2020-01-16,2020-01-17 17:50:42.746
14891,144607,20032018,B03,1,1,67,F,2020-01-16,2020-01-17 17:50:42.746
14892,74654,12112018,A05,8,8,67,F,2020-01-16,2020-01-17 17:50:42.746
14893,2343,17022018,A99,1,1,67,F,2020-01-16,2020-01-17 17:50:42.746
14894,31205,2072026,A01,2,2,67,F,2020-01-16,2020-01-17 17:50:42.746
14895,94579,13032021,B99,3,3,67,F,2020-01-16,2020-01-17 17:50:42.746
14896,710991,22022026,A01,10,27,67,F,2020-01-16,2020-01-17 17:50:42.746
14897,252825,6022015,A04,1,1,67,F,2020-01-16,2020-01-17 17:50:42.746
14898,25282,23042018,A99,4,4,67,F,2020-01-16,2020-01-17 17:50:42.746
14899,256376,20092027,A04,2,2,67,F,2020-01-16,2020-01-17 17:50:42.746
14900,250500,19012021,A99,1,1,67,F,2020-01-16,2020-01-17 17:50:42.746
14901,23697,3022021,A99,2,2,67,F,2020-01-16,2020-01-17 17:50:42.746
14902,67781,31012024,B05,2,2,67,F,2020-01-16,2020-01-17 17:50:42.746
14903,19095,6022019,B07,1,1,67,F,2020-01-16,2020-01-17 17:50:42.746
14904,1033,23102018,A05,1,1,67,F,2020-01-16,2020-01-17 17:50:42.746
14905,251666,17062016,A04,1,1,67,F,2020-01-16,2020-01-17 17:50:42.746
14906,142601,18082028,A04,1,1,67,F,2020-01-16,2020-01-17 17:50:42.746
14907,70520,15052016,B03,1,1,67,F,2020-01-16,2020-01-17 17:50:42.746
14908,4295,16042022,A01,1,1,67,F,2020-01-16,2020-01-17 17:50:42.746
14909,4369682239,12032019,D01,39918,45855,67,F,2020-01-16,2020-01-17 17:50:42.746
14910,3994644609,7052019,A01,228659,402368,67,F,2020-01-16,2020-01-17 17:50:42.746
14911,315311270,28112019,A01,4734,6488,67,F,2020-01-16,2020-01-17 17:50:42.746
14912,433533143,1122019,A04,17809,22240,67,F,2020-01-16,2020-01-17 17:50:42.746
14913,259168199,14012019,A04,5038,5283,67,F,2020-01-16,2020-01-17 17:50:42.746
14914,426442498,25012019,A04,18778,21834,67,F,2020-01-16,2020-01-17 17:50:42.746
14915,764975349,29042019,A04,25342,29384,67,F,2020-01-16,2020-01-17 17:50:42.746
14916,457870,12112018,A99,107,121,67,F,2020-01-16,2020-01-17 17:50:42.746
14917,18002393,11102021,B05,278,278,67,F,2020-01-16,2020-01-17 17:50:42.746
14918,17678030,19072021,B05,258,258,67,F,2020-01-16,2020-01-17 17:50:42.746
14919,39042782,21052020,B05,460,462,67,F,2020-01-16,2020-01-17 17:50:42.746
14920,207566126,2112019,A01,2032,3057,67,F,2020-01-16,2020-01-17 17:50:42.746
14921,48630037,26122019,A01,500,621,67,F,2020-01-16,2020-01-17 17:50:42.746
14922,19105079,5022020,A04,381,422,67,F,2020-01-16,2020-01-17 17:50:42.746
14923,4050842,25012019,A99,640,684,67,F,2020-01-16,2020-01-17 17:50:42.746
14924,15577741,18012019,G01,172,284,67,F,2020-01-16,2020-01-17 17:50:42.746
14925,823382,28112026,A01,100,148,67,F,2020-01-16,2020-01-17 17:50:42.746
14926,641776,20042017,B99,43,44,67,F,2020-01-16,2020-01-17 17:50:42.746
14927,2728621,10052016,B99,86,176,67,F,2020-01-16,2020-01-17 17:50:42.746
14928,2897285,5122022,A04,140,144,67,F,2020-01-16,2020-01-17 17:50:42.746
14929,25662776,18062019,G01,119,199,67,F,2020-01-16,2020-01-17 17:50:42.746
14930,1709777,3042017,B99,102,140,67,F,2020-01-16,2020-01-17 17:50:42.746
14931,12620898,25102020,A01,85,162,67,F,2020-01-16,2020-01-17 17:50:42.746
14932,2477575,27092021,A04,91,95,67,F,2020-01-16,2020-01-17 17:50:42.746
14933,10341789,11022022,B05,167,167,67,F,2020-01-16,2020-01-17 17:50:42.746
14934,1633847,28042025,A01,150,263,67,F,2020-01-16,2020-01-17 17:50:42.746
14935,156360,28112024,A04,21,21,67,F,2020-01-16,2020-01-17 17:50:42.746
14936,27824425,21012019,A01,489,623,67,F,2020-01-16,2020-01-17 17:50:42.746
14937,8834886,22042022,B05,137,138,67,F,2020-01-16,2020-01-17 17:50:42.746
14938,568542,19022019,A05,20,20,67,F,2020-01-16,2020-01-17 17:50:42.746
14939,2357834,28042022,A04,95,101,67,F,2020-01-16,2020-01-17 17:50:42.746
14940,2063439,1032020,B99,112,113,67,F,2020-01-16,2020-01-17 17:50:42.746
14941,2181171,7082023,A04,142,152,67,F,2020-01-16,2020-01-17 17:50:42.746
14942,2373508,30082020,A04,71,71,67,F,2020-01-16,2020-01-17 17:50:42.746
14943,2558206,6042021,A04,97,97,67,F,2020-01-16,2020-01-17 17:50:42.746
14944,1818101,19022023,B05,32,32,67,F,2020-01-16,2020-01-17 17:50:42.746
14945,13782411,16032020,A04,160,164,67,F,2020-01-16,2020-01-17 17:50:42.746
14946,237172,17102018,A99,50,52,67,F,2020-01-16,2020-01-17 17:50:42.746
14947,4559270,7112019,B03,29,29,67,F,2020-01-16,2020-01-17 17:50:42.746
14948,578486,24072018,B99,23,28,67,F,2020-01-16,2020-01-17 17:50:42.746
14949,215046,8062015,B99,40,42,67,F,2020-01-16,2020-01-17 17:50:42.746
14950,2577439,27122019,A05,108,108,67,F,2020-01-16,2020-01-17 17:50:42.746
14951,5601960,12102022,B05,93,93,67,F,2020-01-16,2020-01-17 17:50:42.746
14952,438711,8122016,B99,23,33,67,F,2020-01-16,2020-01-17 17:50:42.746
14953,352728,20102024,A04,12,14,67,F,2020-01-16,2020-01-17 17:50:42.746
14954,5421686,25012016,A04,26,27,67,F,2020-01-16,2020-01-17 17:50:42.746
14955,51005,17032018,B05,2,2,67,F,2020-01-16,2020-01-17 17:50:42.746
14956,192341,14112021,A01,12,23,67,F,2020-01-16,2020-01-17 17:50:42.746
14957,190109,10092029,A04,1,1,67,F,2020-01-16,2020-01-17 17:50:42.746
14958,60162,27082025,A04,5,5,67,F,2020-01-16,2020-01-17 17:50:42.746
14959,113895,18042030,A04,1,1,67,F,2020-01-16,2020-01-17 17:50:42.746
14960,680098,13042016,A04,2,3,67,F,2020-01-16,2020-01-17 17:50:42.746
14961,252306,3052024,A01,11,17,67,F,2020-01-16,2020-01-17 17:50:42.746
14962,157147,22072016,B99,10,16,67,F,2020-01-16,2020-01-17 17:50:42.746
14963,65347,17102015,B99,7,8,67,F,2020-01-16,2020-01-17 17:50:42.746
14964,186848,18082026,A04,1,1,67,F,2020-01-16,2020-01-17 17:50:42.746
14965,128673,24022019,A01,5,5,67,F,2020-01-16,2020-01-17 17:50:42.746
14966,65345,5112020,A05,2,3,67,F,2020-01-16,2020-01-17 17:50:42.746
14967,254243,19012024,B05,5,5,67,F,2020-01-16,2020-01-17 17:50:42.746
14968,267094,2112023,B05,5,5,67,F,2020-01-16,2020-01-17 17:50:42.746
14969,21808,14022021,A99,1,1,67,F,2020-01-16,2020-01-17 17:50:42.746
14970,8733,12062024,A01,1,1,67,F,2020-01-16,2020-01-17 17:50:42.746
14971,44887,29082015,A04,1,1,67,F,2020-01-16,2020-01-17 17:50:42.746
14972,2509,29082021,B99,1,1,67,F,2020-01-16,2020-01-17 17:50:42.746
