ID_STG_OPR_ITT,VLR_CTRD_CSC,QTD_PCL,VLR_SDO_DDR,QTD_CLI_CAD_POS,QTD_OPR,ID_FNT_ITT,ID_MDL,DES_TIP_PSS,DAT_RSS_FNT_ITT,DAT_INC_DBO
375,,90,,2,2,67,B03,F,2020-01-16,2020-01-27 10:49:48.15
376,,100,,7,7,67,A04,F,2020-01-16,2020-01-27 10:49:48.15
377,,86,,129,158,67,A01,F,2020-01-16,2020-01-27 10:49:48.15
378,131070000.0,138,47372147.0,11,13,67,C01,F,2020-01-16,2020-01-27 10:49:48.15
379,186080000.0,143,39941763.0,13,16,67,C01,F,2020-01-16,2020-01-27 10:49:48.15
380,,61,,1,1,67,B05,F,2020-01-16,2020-01-27 10:49:48.15
381,,198,,2,2,67,B03,F,2020-01-16,2020-01-27 10:49:48.15
382,498699313.0,57,259818902.0,101,116,67,C01,F,2020-01-16,2020-01-27 10:49:48.15
383,,18,,2058,2117,67,B99,F,2020-01-16,2020-01-27 10:49:48.15
384,,25,,506,521,67,A04,F,2020-01-16,2020-01-27 10:49:48.15
385,,37,,13,13,67,B05,F,2020-01-16,2020-01-27 10:49:48.15
386,,30,,3,3,67,A99,F,2020-01-16,2020-01-27 10:49:48.15
387,,260,,4,4,67,B03,F,2020-01-16,2020-01-27 10:49:48.15
388,,15,,346,363,67,A01,F,2020-01-16,2020-01-27 10:49:48.15
389,,125,,2,2,67,B03,F,2020-01-16,2020-01-27 10:49:48.15
390,112135000.0,130,42490399.0,8,11,67,C01,F,2020-01-16,2020-01-27 10:49:48.15
391,189927500.0,190,119859597.0,10,12,67,C01,F,2020-01-16,2020-01-27 10:49:48.15
392,33210000.0,196,29821302.0,2,3,67,C01,F,2020-01-16,2020-01-27 10:49:48.15
393,,355,,3,3,67,B03,F,2020-01-16,2020-01-27 10:49:48.15
394,,277,,2,2,67,B03,F,2020-01-16,2020-01-27 10:49:48.15
395,246428032.0,38,122724175.0,42,60,67,C01,F,2020-01-16,2020-01-27 10:49:48.15
396,,292,,2,2,67,B03,F,2020-01-16,2020-01-27 10:49:48.15
397,290320767.0,36,122053066.0,55,69,67,C01,F,2020-01-16,2020-01-27 10:49:48.15
398,,20,,27,27,67,B05,F,2020-01-16,2020-01-27 10:49:48.15
399,,84,,15,16,67,B99,F,2020-01-16,2020-01-27 10:49:48.15
400,,179,,6,6,67,A04,F,2020-01-16,2020-01-27 10:49:48.15
401,,298,,1,1,67,B03,F,2020-01-16,2020-01-27 10:49:48.15
402,44447735.0,22,26406348.0,11,13,67,C01,F,2020-01-16,2020-01-27 10:49:48.15
403,20065000.0,150,18006330.0,2,2,67,C01,F,2020-01-16,2020-01-27 10:49:48.15
404,,10,,13336,15212,67,A04,F,2020-01-16,2020-01-27 10:49:48.15
405,,9,,312,316,67,A99,F,2020-01-16,2020-01-27 10:49:48.15
406,,74,,62,71,67,A01,F,2020-01-16,2020-01-27 10:49:48.15
407,,209,,1,1,67,B03,F,2020-01-16,2020-01-27 10:49:48.15
408,,243,,2,2,67,B03,F,2020-01-16,2020-01-27 10:49:48.15
409,200145700.0,45,90093615.0,52,57,67,C01,F,2020-01-16,2020-01-27 10:49:48.15
410,,7,,74,74,67,A01,F,2020-01-16,2020-01-27 10:49:48.15
411,,132,,3,3,67,B03,F,2020-01-16,2020-01-27 10:49:48.15
412,,80,,166,187,67,A01,F,2020-01-16,2020-01-27 10:49:48.15
413,,53,,122,146,67,A04,F,2020-01-16,2020-01-27 10:49:48.15
414,,27,,202,214,67,A01,F,2020-01-16,2020-01-27 10:49:48.15
415,,33,,1,1,67,A99,F,2020-01-16,2020-01-27 10:49:48.15
416,,3,,21732,25601,67,A04,F,2020-01-16,2020-01-27 10:49:48.15
417,,48,,3994,4411,67,A01,F,2020-01-16,2020-01-27 10:49:48.15
418,,59,,801,950,67,A01,F,2020-01-16,2020-01-27 10:49:48.15
419,,15,,17,17,67,A05,F,2020-01-16,2020-01-27 10:49:48.15
420,573697717.0,68,277898994.0,124,136,67,C01,F,2020-01-16,2020-01-27 10:49:48.15
