ID_STG_FNT_ITT,NUM_CNPJ,Cnpj Invalido,Nome Comercial,Razao Social
340,12408155466,124081554661700,NMN,NMN
341,12118122869,121181228692720,NMN,NMN
348,463844422,4638444221768,NMN,NMN
349,19190237823,191902378231853,NMN,NMN
378,707217680,7072176802839,NMN,NMN
382,730635639,7306356392414,NMN,NMN
430,20605092811,206050928111734,NMN,NMN
438,450815146,4508151462550,NMN,NMN
452,502679375,5026793752210,NMN,NMN
465,645158687,6451586872703,NMN,NMN
469,24228636946,242286369461717,NMN,NMN
470,24321219830,243212198302363,NMN,NMN
478,12077600445,120776004452839,NMN,NMN
493,264709550,2647095502482,NMN,NMN
503,,,NMN,NMN
504,,,NMN,NMN
549,,,NMN,NMN
556,,,NMN,NMN
580,,,NMN,NMN
628,872108653,8721086532040,NMN,NMN
650,,,NMN,NMN
655,,,NMN,NMN
729,21119368022,211193680222346,NMN,NMN
760,17783205776,177832057762635,,
777,12479678342,124796783422210,NMN,NMN
795,93607678,936076782873,NMN,NMN
800,,,NMN,NMN
834,,,NMN,NMN
841,22846063258,228460632583077,NMN,NMN
853,,,NMN,NMN
860,25757451570,257574515703213,NMN,NMN
875,,,NMN,NMN
889,22537627430,225376274303009,NMN,NMN
933,,,NMN,NMN
953,,,NMN,NMN
973,779722289,7797222893179,NMN,NMN
979,,,NMN,NMN
998,,,NMN,NMN
1000,,,NMN,NMN
1020,,,NMN,NMN
1022,,,NMN,NMN
11,22097389973,220973899733247,,
14,,,,
35,,,,
37,17130360845,171303608451921,,
53,,,NMN,NMN
57,637700753,6377007533060,NMN,NMN
62,,,NMN,NMN
63,21420212109,214202121092448,NMN,NMN
77,,,NMN,NMN
80,,,NMN,NMN
85,11922760025,119227600252992,NMN,NMN
86,20299839162,202998391622890,NMN,NMN
92,,,NMN,NMN
106,17765603364,1776560336414433,NMN,NMN
117,17765603364,17765603364159630,NMN,NMN
122,17765603364,17765603364227817,NMN,NMN
136,,,NMN,NMN
151,,,NMN,NMN
160,,,NMN,NMN
187,13638820061,136388200611802,NMN,NMN
205,12770750183,127707501832142,,
214,,,,
217,17562627104,175626271042805,NMN,NMN
221,,,,
246,594641776,5946417762839,NMN,NMN
266,,,NMN,NMN
282,23515317320,235153173202210,NMN,NMN
288,401609139,4016091393196,NMN,NMN
303,124238210,1242382102567,NMN,NMN
318,,,NMN,NMN
323,20665382257,206653822571989,NMN,NMN
333,20632301583,206323015833332,NMN,NMN
351,,,NMN,NMN
361,17302302840,173023028402040,NMN,NMN
403,,,NMN,NMN
437,578258655,5782586553230,NMN,NMN
451,475192296,4751922962380,NMN,NMN
459,374555560,3745555603315,NMN,NMN
489,18112632830,181126328302941,NMN,NMN
492,,,NMN,NMN
506,623955046,6239550463196,NMN,NMN
532,,,NMN,NMN
563,,,NMN,NMN
569,882972741,8829727412771,NMN,NMN
588,,,NMN,NMN
636,667321230,66732123015453,NMN,NMN
637,667321230,66732123017714,NMN,NMN
652,,,NMN,NMN
676,,,NMN,NMN
696,17592292087,175922920873196,NMN,NMN
708,434931128,4349311281785,NMN,NMN
710,13912727325,139127273252788,NMN,NMN
727,12504729440,125047294402380,NMN,NMN
731,15005025078,150050250782907,NMN,NMN
734,15091247361,150912473612210,NMN,NMN
740,,,NMN,NMN
768,19743012169,197430121692754,NMN,NMN
789,315017803,3150178033145,NMN,NMN
802,14695334990,146953349901785,NMN,NMN
811,,,NMN,NMN
827,,,NMN,NMN
854,,,NMN,NMN
888,23186693686,231866936862516,NMN,NMN
891,22856142133,228561421331734,NMN,NMN
898,928505847,9285058473043,NMN,NMN
903,22661665363,226616653632720,NMN,NMN
905,16660171717,166601717173128,NMN,NMN
909,26220787641,262207876412074,NMN,NMN
910,,,NMN,NMN
926,17596957992,175969579923060,,
981,886129777,8861297772907,NMN,NMN
996,,,NMN,NMN
1001,534165058,5341650582686,NMN,NMN
33,17575301199,175753011992669,,
43,,,,
54,224264,2242641717,NMN,NMN
68,17177675925,171776759251717,NMN,NMN
103,,,NMN,NMN
130,17765603364,17765603364439161,NMN,NMN
134,,,NMN,NMN
161,,,NMN,NMN
179,,,NMN,NMN
189,,,NMN,NMN
193,26330219803,263302198032686,NMN,NMN
195,25802197440,258021974402822,NMN,NMN
203,26846632458,268466324581836,,
209,26840664030,268406640302380,,
263,12050462767,120504627672210,NMN,NMN
272,28137272356,281372723562261,NMN,NMN
273,462787838,4627878382040,NMN,NMN
275,604046414,6040464142040,NMN,NMN
297,19148882790,191488827903060,NMN,NMN
345,12053397562,120533975621700,NMN,NMN
371,473367261,4733672612720,NMN,NMN
390,970726146,9707261461989,NMN,NMN
398,,,NMN,NMN
402,,,NMN,NMN
410,,,NMN,NMN
420,25023079161,250230791613043,NMN,NMN
453,481984374,4819843743349,NMN,NMN
461,586999171,5869991712176,NMN,NMN
463,599036310,5990363102482,NMN,NMN
484,21123827003,211238270032482,NMN,NMN
509,19234587185,192345871852890,NMN,NMN
572,364000702,3640007021819,NMN,NMN
589,,,NMN,NMN
622,,,,
638,667321230,66732123019091,NMN,NMN
675,23882801339,238828013392346,NMN,NMN
