ID_STG_FNT_ITT,NUM_CNPJ,NUM_CMP_CNPJ,NOM_COM,NOM_RAZ_SCL,DAT_INC_DBO
918,2735105248,1904,MVJWMY S.M PRJJVTP JVNMNPVMMJNTP J VNVJSTVMJNTP,MVJWMY S.M PRJJVTP JVNMNPVMMJNTP J VNVJSTVMJNTP,2019-12-19 13:43:41.914
928,693304064,3230,ZNVPRVMJ NPRTJ JP PMRMNÁ - PPPPJRMTVVM JJ PRÉJVTP LTJM,ZNVPRVMJ NPRTJ JP PMRMNÁ - PPPPJRMTVVM JJ PRÉJVTP LTJM,2019-12-19 13:43:41.914
938,799568208,2346,NMN,NMN,2019-12-19 13:43:41.914
945,1343777750,2380,NMN,NMN,2019-12-19 13:43:41.914
952,841275243,1819,NMN,NMN,2019-12-19 13:43:41.914
955,405111819,2601,NMN,NMN,2019-12-19 13:43:41.914
966,1729374555,2907,NMN,NMN,2019-12-19 13:43:41.914
1005,1257215025,2193,NMN,NMN,2019-12-19 13:43:41.914
4,17939154800,2057,MMNK PJ MMJRVPM,MMNK PJ MMJRVPM MJRRVLL LYNPV MMNPP MZLTVPLP S.M.,2019-12-19 13:43:41.914
36,8389804963,2822,SPPTVMMMNK MRMSVL S.M.,SPPTVMMMNK MRMSVL S.M. MMNPP MZLTVPLP,2019-12-19 13:43:41.914
47,16715703645,2380,MMNPP TRVPZRY,MMNPP TRVPZRY,2019-12-19 13:43:41.914
49,104128145,1768,PMVXM JPPNÔMVPM JJJJRML,PMVXM JPPNÔMVPM JJJJRML,2019-12-19 13:43:41.914
52,3718131523,3349,"MRVPKJLL S/M PRÉJVTP, JVNMNPVMMJNTP J VNVJSTVMJNTP","MRVPKJLL S/M PRÉJVTP, JVNMNPVMMJNTP J VNVJSTVMJNTP",2019-12-19 13:43:41.914
56,870534470,2873,NMN,NMN,2019-12-19 13:43:41.914
59,332336417,3213,NMN,NMN,2019-12-19 13:43:41.914
71,17489766158,2074,NMN,NMN,2019-12-19 13:43:41.914
73,9116931564,2652,NMN,NMN,2019-12-19 13:43:41.914
95,904273197,1819,NMN,NMN,2019-12-19 13:43:41.914
101,667321230,2567,NMN,NMN,2019-12-19 13:43:41.914
128,17765603364,376397,NMN,NMN,2019-12-19 13:43:41.914
132,960315499,3230,NMN,NMN,2019-12-19 13:43:41.914
146,20626417254,2975,NMN,NMN,2019-12-19 13:43:41.914
148,3172930422,2669,NMN,NMN,2019-12-19 13:43:41.914
158,5145367560,3383,NMN,NMN,2019-12-19 13:43:41.914
169,4799896382,2380,NMN,NMN,2019-12-19 13:43:41.914
176,4952951938,2533,NMN,NMN,2019-12-19 13:43:41.914
178,5145257451,3213,NMN,NMN,2019-12-19 13:43:41.914
190,13730135680,3094,NMN,NMN,2019-12-19 13:43:41.914
206,6797919846,2091,PPMMJRZMMNK MRMSVL,PPMMJRZMMNK MRMSVL S.M. - MMNPP MZLTVPLP,2019-12-19 13:43:41.914
215,26554759509,2244,MMNPP JPVN JJJRJ S.M.,MMNPP JPVN JJJRJ S.M.,2019-12-19 13:43:41.914
220,9541206684,3332,NMN,NMN,2019-12-19 13:43:41.914
226,7422512426,2788,NMN,NMN,2019-12-19 13:43:41.914
230,1012115859,2805,NMN,NMN,2019-12-19 13:43:41.914
255,25082840893,1887,NMN,NMN,2019-12-19 13:43:41.914
256,23584436294,2975,NMN,NMN,2019-12-19 13:43:41.914
269,10766709161,1751,NMN,NMN,2019-12-19 13:43:41.914
271,10875375762,2431,NMN,NMN,2019-12-19 13:43:41.914
324,18564646170,2210,NMN,NMN,2019-12-19 13:43:41.914
352,24991621511,2448,NMN,NMN,2019-12-19 13:43:41.914
392,7791534792,2431,NMN,NMN,2019-12-19 13:43:41.914
400,1206494080,2108,NMN,NMN,2019-12-19 13:43:41.914
404,1273441219,2193,NMN,NMN,2019-12-19 13:43:41.914
414,1827888008,3247,NMN,NMN,2019-12-19 13:43:41.914
426,6299422879,1717,NMN,NMN,2019-12-19 13:43:41.914
428,501853124,2737,NMN,NMN,2019-12-19 13:43:41.914
432,5742238682,1734,NMN,NMN,2019-12-19 13:43:41.914
444,640732652,2584,NMN,NMN,2019-12-19 13:43:41.914
487,944897060,2771,NMN,NMN,2019-12-19 13:43:41.914
529,2051051496,1700,NMN,NMN,2019-12-19 13:43:41.914
545,2610738722,1972,NMN,NMN,2019-12-19 13:43:41.914
547,2767709361,3094,NMN,NMN,2019-12-19 13:43:41.914
551,2602386044,2125,NMN,NMN,2019-12-19 13:43:41.914
554,2723821532,3230,NMN,NMN,2019-12-19 13:43:41.914
557,2768402961,3026,NMN,NMN,2019-12-19 13:43:41.914
559,2982302554,2584,NMN,NMN,2019-12-19 13:43:41.914
560,2940675572,2941,NMN,NMN,2019-12-19 13:43:41.914
575,650475709,1802,NMN,NMN,2019-12-19 13:43:41.914
583,1226452420,2567,NMN,NMN,2019-12-19 13:43:41.914
599,650479466,3009,NMN,NMN,2019-12-19 13:43:41.914
605,998002255,2380,NMN,NMN,2019-12-19 13:43:41.914
634,667321230,12699,NMN,NMN,2019-12-19 13:43:41.914
640,667321230,23715,NMN,NMN,2019-12-19 13:43:41.914
654,1440857185,2584,NMN,NMN,2019-12-19 13:43:41.914
664,801553638,2074,NMN,NMN,2019-12-19 13:43:41.914
716,13310973259,3383,NMN,NMN,2019-12-19 13:43:41.914
723,15298342738,2091,NMN,NMN,2019-12-19 13:43:41.914
735,15194234534,2431,NMN,NMN,2019-12-19 13:43:41.914
750,21404641078,1904,NMN,NMN,2019-12-19 13:43:41.914
771,13855896053,2312,NMN,NMN,2019-12-19 13:43:41.914
826,1402802532,3264,NMN,NMN,2019-12-19 13:43:41.914
856,10820912845,2414,NMN,NMN,2019-12-19 13:43:41.914
867,885798294,3179,NMN,NMN,2019-12-19 13:43:41.914
877,1289980978,2312,NMN,NMN,2019-12-19 13:43:41.914
882,341459569,13957,NMN,NMN,2019-12-19 13:43:41.914
894,20354741070,1768,NMN,NMN,2019-12-19 13:43:41.914
897,27577793499,1870,NMN,NMN,2019-12-19 13:43:41.914
917,15466899676,3128,VSMP MMNPP JJ VNVJSTVMJNTPS SM,VSMP MMNPP JJ VNVJSTVMJNTPS SM,2019-12-19 13:43:41.914
944,1512032105,2346,NMN,NMN,2019-12-19 13:43:41.914
949,18273362781,2176,NMN,NMN,2019-12-19 13:43:41.914
975,1484171638,3315,NMN,NMN,2019-12-19 13:43:41.914
1004,280704833,2244,NMN,NMN,2019-12-19 13:43:41.914
1006,1297763459,2720,NMN,NMN,2019-12-19 13:43:41.914
1012,1770639420,1785,NMN,NMN,2019-12-19 13:43:41.914
1017,3040347048,2108,NMN,NMN,2019-12-19 13:43:41.914
24,1416960931,2448,MMNPP JM MMMZPNVM - MMSM JVRJPMP PJRML,MMNPP JM MMMZPNVM SM,2019-12-19 13:43:41.914
90,20237915132,1836,NMN,NMN,2019-12-19 13:43:41.914
121,17765603364,215781,NMN,NMN,2019-12-19 13:43:41.914
156,5375217352,3111,NMN,NMN,2019-12-19 13:43:41.914
157,5145351087,1785,NMN,NMN,2019-12-19 13:43:41.914
159,17765603364,2924,NMN,NMN,2019-12-19 13:43:41.914
172,4952931130,2210,NMN,NMN,2019-12-19 13:43:41.914
188,1209401131,1717,NMN,NMN,2019-12-19 13:43:41.914
196,17855656342,3247,NMN,NMN,2019-12-19 13:43:41.914
198,9835762131,2771,NMN,NMN,2019-12-19 13:43:41.914
200,768287715,2601,MMNPP PMTJRPVLLMR,MMNPP PMTJRPVLLMR S.M.,2019-12-19 13:43:41.914
219,13458961200,2533,NMN,NMN,2019-12-19 13:43:41.914
233,20263700579,3145,NMN,NMN,2019-12-19 13:43:41.914
236,9385241476,1734,NMN,NMN,2019-12-19 13:43:41.914
238,9372337337,1870,NMN,NMN,2019-12-19 13:43:41.914
264,18575780762,2465,NMN,NMN,2019-12-19 13:43:41.914
274,497221032,3298,NMN,NMN,2019-12-19 13:43:41.914
332,18634960737,3060,NMN,NMN,2019-12-19 13:43:41.914
355,5481387571,2006,NMN,NMN,2019-12-19 13:43:41.914
393,1053622328,1802,NMN,NMN,2019-12-19 13:43:41.914
419,2324962806,3077,NMN,NMN,2019-12-19 13:43:41.914
467,343320729,1870,NMN,NMN,2019-12-19 13:43:41.914
479,275247935,2805,NMN,NMN,2019-12-19 13:43:41.914
482,538739639,2550,NMN,NMN,2019-12-19 13:43:41.914
486,962125506,1870,NMN,NMN,2019-12-19 13:43:41.914
528,13604479347,3281,NMN,NMN,2019-12-19 13:43:41.914
539,2332638646,1921,NMN,NMN,2019-12-19 13:43:41.914
541,2526492332,2635,NMN,NMN,2019-12-19 13:43:41.914
544,2555937386,1972,NMN,NMN,2019-12-19 13:43:41.914
552,15385437512,2363,NMN,NMN,2019-12-19 13:43:41.914
571,20720916786,2550,NMN,NMN,2019-12-19 13:43:41.914
579,3441273280,1819,NMN,NMN,2019-12-19 13:43:41.914
632,667321230,9945,NMN,NMN,2019-12-19 13:43:41.914
667,17082548685,2533,MMNPP VPLKSWMPJN S.M.,MMNPP VPLKSWMPJN S.M.,2019-12-19 13:43:41.914
688,18147829273,2278,NMN,NMN,2019-12-19 13:43:41.914
697,864816894,2975,MMNPP PNV VNJZSTRVML PMPVTML S.M.,MMNPP PNV VNJZSTRVML PMPVTML S.M.,2019-12-19 13:43:41.914
706,1384785405,2380,NMN,NMN,2019-12-19 13:43:41.914
733,982788139,2839,NMN,NMN,2019-12-19 13:43:41.914
770,13018198919,1819,NMN,NMN,2019-12-19 13:43:41.914
794,2273774837,3009,NMN,NMN,2019-12-19 13:43:41.914
868,9729822245,3128,NMN,NMN,2019-12-19 13:43:41.914
869,1030763295,1870,NMN,NMN,2019-12-19 13:43:41.914
890,21981339133,1989,NMN,NMN,2019-12-19 13:43:41.914
923,11122690113,3298,MMNPP JJ JJSJNVPLVVMJNTP JJ MVNMS PJRMVS S.M – MJMP,MMNPP JJ JJSJNVPLVVMJNTP JJ MVNMS PJRMVS S.M – MJMP,2019-12-19 13:43:41.914
929,371758329,1853,NMN,NMN,2019-12-19 13:43:41.914
930,2208770067,3383,NMN,NMN,2019-12-19 13:43:41.914
947,3774118048,2839,NMN,NMN,2019-12-19 13:43:41.914
1007,1326006562,1717,NMN,NMN,2019-12-19 13:43:41.914
1013,922063170,2346,NMN,NMN,2019-12-19 13:43:41.914
1019,2543529171,2482,NMN,NMN,2019-12-19 13:43:41.914
1024,2179698979,1751,NMN,NMN,2019-12-19 13:43:41.914
1,9876194098,5406,SPP MRMSVL,PPNJJJJRMPMP NMPVPNML JVRVPJNTJS LPJVSTMS,2019-12-19 13:43:41.914
10,22724869663,2040,MMNPP PZRVNVJST S/M,MMNPP PZRVNVJST S/M,2019-12-19 13:43:41.914
42,16766964731,2890,MMNPP VPLVP (MRMSVL) S.M,MMNPP VPLVP (MRMSVL) S.M,2019-12-19 13:43:41.914
84,1224612357,2465,NMN,NMN,2019-12-19 13:43:41.914
99,1602617710,1819,NMN,NMN,2019-12-19 13:43:41.914
108,17765603364,28203,NMN,NMN,2019-12-19 13:43:41.914
112,17765603364,85850,NMN,NMN,2019-12-19 13:43:41.914
123,17765603364,236436,NMN,NMN,2019-12-19 13:43:41.914
149,26125856632,3095190,NMN,NMN,2019-12-19 13:43:41.914
163,26125856632,3585283,NMN,NMN,2019-12-19 13:43:41.914
164,2761244720,1819,NMN,NMN,2019-12-19 13:43:41.914
194,13132677021,2618,NMN,NMN,2019-12-19 13:43:41.914
213,1420062479,1836,MMNPMRM,MMNPP JP JSTMJP JP PMRM S M,2019-12-19 13:43:41.914
234,30686020,3230,NMN,NMN,2019-12-19 13:43:41.914
253,23413063340,2805,NMN,NMN,2019-12-19 13:43:41.914
279,24649123854,1717,NMN,NMN,2019-12-19 13:43:41.914
305,232369294,2771,NMN,NMN,2019-12-19 13:43:41.914
309,20587849048,2040,NMN,NMN,2019-12-19 13:43:41.914
311,20539110643,2261,NMN,NMN,2019-12-19 13:43:41.914
363,19301773038,2941,NMN,NMN,2019-12-19 13:43:41.914
369,15587223381,2057,NMN,NMN,2019-12-19 13:43:41.914
372,15583780524,2873,NMN,NMN,2019-12-19 13:43:41.914
407,1503841845,1717,NMN,NMN,2019-12-19 13:43:41.914
415,2054254194,1734,NMN,NMN,2019-12-19 13:43:41.914
436,8257383429,1751,NMN,NMN,2019-12-19 13:43:41.914
513,1514827891,1717,NMN,NMN,2019-12-19 13:43:41.914
525,1997122073,1870,NMN,NMN,2019-12-19 13:43:41.914
526,14880412902,2023,NMN,NMN,2019-12-19 13:43:41.914
561,2965797764,1700,NMN,NMN,2019-12-19 13:43:41.914
567,1294208759,2822,NMN,NMN,2019-12-19 13:43:41.914
606,6827230804,3315,NMN,NMN,2019-12-19 13:43:41.914
639,667321230,20468,NMN,NMN,2019-12-19 13:43:41.914
642,667321230,27846,NMN,NMN,2019-12-19 13:43:41.914
665,26790897363,3332,MMNPP JP JSTMJP JP RVP PRMNJJ JP SZL S/M,MMNRVSZL,2019-12-19 13:43:41.914
678,4849345149,2584,NMN,NMN,2019-12-19 13:43:41.914
692,1308399815,1921,NMN,NMN,2019-12-19 13:43:41.914
693,18947030162,1717,NMN,NMN,2019-12-19 13:43:41.914
707,19461689743,2499,NMN,NMN,2019-12-19 13:43:41.914
711,16761097742,2482,NMN,NMN,2019-12-19 13:43:41.914
712,5031867723,3196,NMN,NMN,2019-12-19 13:43:41.914
714,442209304,2992,NMN,NMN,2019-12-19 13:43:41.914
747,21083167882,1700,NMN,NMN,2019-12-19 13:43:41.914
752,25086338371,1700,NMN,NMN,2019-12-19 13:43:41.914
776,12586831161,3128,NMN,NMN,2019-12-19 13:43:41.914
