ID_STG_FNT_ITT,NUM_CNPJ,NUM_CMP_CNPJ
848,25389576534,2414
901,26007254789,2992
913,23613212024,3128
914,21625522911,2465
964,892219007,3026
17,25077909975,2210
21,15961734724,2040
65,20527053274,2278
91,20241050493,2499
93,332692754,2414
113,17765603364,112506
182,170270419,1802
245,348457704,2873
252,23412377254,2006
276,22784780519,3230
283,23397335382,3281
287,200678421,1904
290,489117472,3162
298,251339543,1768
301,465100705,1700
302,20587546176,2652
313,19800184172,1819
316,20640264400,2329
338,18851254406,2057
344,20563579984,1700
346,397142644,2499
366,19391006701,2822
427,20585567682,3196
431,291863412,2193
480,847252052,3196
533,629925497,3162
618,161393784,2907
626,26808937321,3332
724,668426944,2890
746,16548002725,2771
822,23468545271,2737
836,25368862170,1700
851,27626937949,1819
919,17986615825,2992
9,17542643910,1768
44,17636037728,2907
45,229877247,2465
51,809760082,2312
58,12259893264,2125
104,17765603364,8568
116,17765603364,151368
129,17765603364,435030
180,26125856632,4756957
222,589049048,2788
241,235627191,2975
254,23413661859,2873
257,12851587529,1734
285,25093820003,2176
289,23736489598,2261
315,12118187605,2924
354,12392498313,3383
357,25017010739,2737
379,716886753,2941
425,12397760425,1955
460,481864728,2856
466,674846501,1785
510,999896650,2380
565,24966489204,3179
663,286612571,1734
673,15780273358,2975
685,990431033,1717
726,372462333,2329
786,24081159379,3230
813,26185917768,3060
840,25585211038,1717
864,648947477,2635
915,21225276407,1819
994,741386150,2040
13,16808468021,2176
29,929363310,1870
30,149599405,1768
60,537185686,1870
76,17184272928,2278
94,990789682,2329
115,17765603364,134844
119,17765603364,169762
126,17765603364,313854
133,17765603364,211157
242,21212208694,2414
243,25080601721,2380
250,22792272555,2380
270,21219186888,2822
278,22780503030,2193
293,20645328547,2244
295,19189165344,1717
370,15721971654,2482
424,384455255,2159
582,720477000,1768
587,659702901,2584
594,21191343761,2006
602,617598202,2805
617,16794891668,2091
635,667321230,14076
646,931375617,8194
662,17985304921,3230
689,15661061725,2822
691,17936258153,3298
743,27862277007,2176
744,19980325675,1853
748,341459569,2635
753,608072762,1700
755,14220130845,3281
766,17682950520,2958
810,17565187644,3332
835,867041038,2499
850,25735374282,2669
859,25269491543,1785
861,25568125936,2890
865,22963328187,1921
871,25162581773,3060
887,26748438350,3060
993,706919721,2380
2,17968176180,3060
16,472399689,2023
26,17220964079,1751
34,21862240499,2907
81,25118143977,1836
87,11901046588,1972
105,17765603364,13056
118,17765603364,165138
124,17765603364,238697
125,17765603364,250206
